"Path","Size","Lines"
"C:\매매전략\_backup_2025\test_hold_filters.py","11769","307"
"C:\매매전략\_backup_2025\test_idle_strategies.py","5351","135"
"C:\매매전략\_backup_2025\test_integration.py","8842","223"
"C:\매매전략\_backup_2025\test_leverage.py","1193","41"
"C:\매매전략\_backup_2025\test_license_tier.py","1416","43"
"C:\매매전략\_backup_2025\test_lighter_api.py","872","26"
"C:\매매전략\_backup_2025\test_multi_coin.py","3403","104"
"C:\매매전략\_backup_2025\test_phase1.py","2398","73"
"C:\매매전략\_backup_2025\test_phase2.py","1761","58"
"C:\매매전략\_backup_2025\test_phase3.py","1777","52"
"C:\매매전략\_backup_2025\test_phase4.py","3834","104"
"C:\매매전략\_backup_2025\test_strategy_comparison.py","10482","252"
"C:\매매전략\_backup_2025\test_syntax.py","831","20"
"C:\매매전략\_backup_2025\test_system.py","3180","88"
"C:\매매전략\_backup_2025\test_tf_combos.py","8424","220"
"C:\매매전략\_backup_2025\test_unified_backtest.py","901","26"
"C:\매매전략\_backup_2025\test_wallet_safety.py","6004","142"
"C:\매매전략\_backup_2025\track_signal_result.py","2227","63"
"C:\매매전략\_backup_2025\trade_visualizer.py","5599","147"
"C:\매매전략\_backup_2025\trc20_payment.py","11769","317"
"C:\매매전략\_backup_2025\turbo_backtest.py","8573","209"
"C:\매매전략\_backup_2025\unified_bot_adaptive.py","15814","379"
"C:\매매전략\_backup_2025\unified_bot_plus.py","14341","350"
"C:\매매전략\_backup_2025\verify_all.py","3469","102"
"C:\매매전략\_backup_2025\verify_connections.py","5825","153"
"C:\매매전략\_backup_2025\verify_data_load.py","844","23"
"C:\매매전략\_backup_2025\verify_functions.py","9017","262"
"C:\매매전략\_backup_2025\verify_imports.py","1496","36"
"C:\매매전략\_backup_2025\verify_logic_alignment.py","6069","150"
"C:\매매전략\_backup_2025\verify_modules.py","764","20"
"C:\매매전략\_backup_2025\verify_opt_ui.py","2352","62"
"C:\매매전략\_backup_2025\verify_parquet.py","837","26"
"C:\매매전략\_backup_2025\verify_settings.py","1726","51"
"C:\매매전략\_backup_2025\verify_structure.py","2678","49"
"C:\매매전략\_backup_2025\verify_tf_mapping.py","2264","63"
"C:\매매전략\_backup_2025\verify_trading.py","7939","220"
"C:\매매전략\_backup_2025\walk_forward_optimizer.py","6654","159"
"C:\매매전략\_backup_2025\_analyze_recent.py","1620","30"
"C:\매매전략\_backup_2025\_check_signal.py","3329","80"
"C:\매매전략\_backup_2025\_deep_diagnostic.py","1374","35"
"C:\매매전략\_backup_2025\_diag.py","2895","69"
"C:\매매전략\_backup_2025\_diag2.py","3082","74"
"C:\매매전략\_backup_2025\_diagnose_no_trades.py","10050","253"
"C:\매매전략\_backup_2025\_direct_patch.py","3326","82"
"C:\매매전략\_backup_2025\_examine_bytes.py","803","22"
"C:\매매전략\_backup_2025\_fix_encoding.py","388","9"
"C:\매매전략\_backup_2025\_patch_detect_signal.py","1679","29"
"C:\매매전략\_backup_2025\_verify_sig.py","547","13"
"C:\매매전략\_backup_2025\archive_root\actual_pnl_distribution.py","9617","223"
"C:\매매전략\_backup_2025\archive_root\adaptive_strategy_analyzer.py","9548","235"
"C:\매매전략\_backup_2025\archive_root\advanced_optimization.py","10128","245"
"C:\매매전략\_backup_2025\archive_root\all_pattern_analyzer.py","12459","304"
"C:\매매전략\_backup_2025\archive_root\all_pattern_strategy_final.py","12544","276"
"C:\매매전략\_backup_2025\archive_root\analyze_2024_anomaly.py","11610","257"
"C:\매매전략\_backup_2025\archive_root\analyze_45m_context.py","4878","124"
"C:\매매전략\_backup_2025\archive_root\analyze_4h_holding.py","6381","141"
"C:\매매전략\_backup_2025\archive_root\analyze_5min_features.py","11826","263"
"C:\매매전략\_backup_2025\archive_root\analyze_5min_ma.py","13305","287"
"C:\매매전략\_backup_2025\archive_root\analyze_5m_win_lose.py","13459","285"
"C:\매매전략\_backup_2025\archive_root\analyze_asian_session.py","5943","135"
"C:\매매전략\_backup_2025\archive_root\analyze_backtest.py","841","29"
"C:\매매전략\_backup_2025\archive_root\analyze_baseline_failures.py","8717","181"
"C:\매매전략\_backup_2025\archive_root\analyze_candles.py","10791","239"
"C:\매매전략\_backup_2025\archive_root\analyze_compounding.py","13033","289"
"C:\매매전략\_backup_2025\archive_root\analyze_consecutive_losses.py","10722","236"
"C:\매매전략\_backup_2025\archive_root\analyze_drawdowns.py","15318","349"
"C:\매매전략\_backup_2025\archive_root\analyze_duration_pnl.py","2599","70"
"C:\매매전략\_backup_2025\archive_root\analyze_early_exit_detail.py","8589","186"
"C:\매매전략\_backup_2025\archive_root\analyze_early_exit_difference.py","11880","242"
"C:\매매전략\_backup_2025\archive_root\analyze_entry_features.py","13362","271"
"C:\매매전략\_backup_2025\archive_root\analyze_exit_strategy.py","14750","324"
"C:\매매전략\_backup_2025\archive_root\analyze_failures.py","8295","189"
"C:\매매전략\_backup_2025\archive_root\analyze_final_performance.py","3197","95"
"C:\매매전략\_backup_2025\archive_root\analyze_geometry.py","6453","152"
"C:\매매전략\_backup_2025\archive_root\analyze_idle_market.py","4886","118"
"C:\매매전략\_backup_2025\archive_root\analyze_long_term_trend_idle.py","4486","111"
"C:\매매전략\_backup_2025\archive_root\analyze_loss_clusters.py","14007","302"
"C:\매매전략\_backup_2025\archive_root\analyze_loss_dna.py","14149","297"
"C:\매매전략\_backup_2025\archive_root\analyze_mfe.py","2635","79"
"C:\매매전략\_backup_2025\archive_root\analyze_mtf_candles.py","16239","336"
"C:\매매전략\_backup_2025\archive_root\analyze_mtf_confluence.py","9638","220"
"C:\매매전략\_backup_2025\archive_root\analyze_mtf_holding.py","6521","142"
"C:\매매전략\_backup_2025\archive_root\analyze_mtf_opportunity.py","6123","143"
"C:\매매전략\_backup_2025\archive_root\analyze_mtf_prediction.py","7501","164"
"C:\매매전략\_backup_2025\archive_root\analyze_mtf_trend_idle.py","4674","114"
"C:\매매전략\_backup_2025\archive_root\analyze_nowcast_results.py","14253","250"
"C:\매매전략\_backup_2025\archive_root\analyze_overlap.py","3468","76"
"C:\매매전략\_backup_2025\archive_root\analyze_pattern_order.py","9404","176"
"C:\매매전략\_backup_2025\archive_root\analyze_pattern_similarity.py","10120","221"
"C:\매매전략\_backup_2025\archive_root\analyze_position_time.py","3370","87"
"C:\매매전략\_backup_2025\archive_root\analyze_post_exit.py","7167","171"
"C:\매매전략\_backup_2025\archive_root\analyze_pre_entry.py","16538","324"
"C:\매매전략\_backup_2025\archive_root\analyze_streak_mtf.py","14140","311"
"C:\매매전략\_backup_2025\archive_root\analyze_trade_duration.py","2111","55"
"C:\매매전략\_backup_2025\archive_root\analyze_true_failures.py","9229","194"
"C:\매매전략\_backup_2025\archive_root\analyze_volume_vwap.py","12794","269"
"C:\매매전략\_backup_2025\archive_root\analyze_whale_psychology.py","11156","238"
"C:\매매전략\_backup_2025\archive_root\analyze_winners.py","3948","107"
"C:\매매전략\_backup_2025\archive_root\analyze_win_loss.py","13881","306"
"C:\매매전략\_backup_2025\archive_root\analyze_win_loss_5m.py","11240","252"
"C:\매매전략\_backup_2025\archive_root\bot_bybit_backup_162403.py","7443","161"
"C:\매매전략\_backup_2025\archive_root\bounce_filter_test.py","8209","180"
"C:\매매전략\_backup_2025\archive_root\bounce_strength_analysis.py","10187","214"
"C:\매매전략\_backup_2025\archive_root\cache_strategy.py","5877","195"
"C:\매매전략\_backup_2025\archive_root\calculate_mdd.py","8908","210"
"C:\매매전략\_backup_2025\archive_root\calculate_returns.py","8430","200"
"C:\매매전략\_backup_2025\archive_root\calc_cagr.py","1612","41"
